,Datetime,Tweet Id,Text,Username
127,2021-11-30 23:59:05+00:00,1465832789367205888,Biden Tries to Reassure on COVID as He Sells Spending Plan https://t.co/zvYxuKpbtR,nbcchicago
128,2021-11-30 23:59:05+00:00,1465832787932418051,"@MannyeNova @Twolves_PR @Timberwolves Doesn’t matter how athletic one is, we all have genetically different immune systems. Marco Rossi is a great athlete and nearly died from COVID.",eatemup1427
129,2021-11-30 23:59:05+00:00,1465832787840147460,"@SatoshiSarah Maybe you're against blocking and yeah blocking maybe just invites drama, everything is so chill for me now though, I just have a looong mute list of words like ""vaxx, biden, trump, covid, shitcoiner, libtard, tryanny, commie, jab, fauci"", the typical tribal stuff and I'm like: https://t.co/HUXnaXs1JG",ee30e41c68654df
130,2021-11-30 23:59:05+00:00,1465832787814981638,@ViciousTrading Horseshit.  When will people and the markets wake up to this farce.  Ignore the sensationalization of COVID. Get the vax or not.  Fuck off carry on.,cyrissamson
131,2021-11-30 23:59:05+00:00,1465832787508932611,"$SYY, I have found this name to be an interesting proxy for COVID. https://t.co/LQ9hoBeBMo",pwilsontwit
132,2021-11-30 23:59:04+00:00,1465832786275692546,"@tedperl @Kafwen1 @Virg21Nicholls Tbh you can twist statistics to make them suit your own agenda. Prior to vaccines the survival rate of covid was 99% for most people with no risk of vaccine injuries. If you want to argue the 1% feel free,  you are only trading one minority group for another. no moral win here.",JenPirret
133,2021-11-30 23:59:04+00:00,1465832785948643328,"@blwaller1966 @jimcramer That doesn't seem to be the case...and it really doesn't infect equally. Of those dying from Covid, about 99% are unvaccinated. But I suspect you already know this.

https://t.co/BIErTZMOIK",RUK49713220
134,2021-11-30 23:59:04+00:00,1465832785772355584,"Sports stats are so dumb, they say shit like ""here is Ronnie Smith from Cleveland Ohio, he's averaging 8 field goals per game and both of his grandparents died from covid in march""",3nfolgi
135,2021-11-30 23:59:04+00:00,1465832785751556105,"Womp, womp: Efficacy of Merck’s Thor-inspired COVID pill crumbles, vexing experts https://t.co/dIzgfMJ9XP",Koetsie
136,2021-11-30 23:59:04+00:00,1465832783910248449,UPDATE: FDA panel backs first-of-a-kind COVID-19 pill from Merck https://t.co/8TpLopLI2D,ajc
137,2021-11-30 23:59:03+00:00,1465832782446350338,"@MrJohns43513791 @JakeAuch @All435Reps Just like thebrest of us have the right to not become sick due to someone's selfishness.

That's the bottom line, selfishness.

I contracted the virus while waiting for my turn for the vaccine... Are you going to pay for my healthcare and medications post-Covid?",MeredithPutvin
138,2021-11-30 23:59:03+00:00,1465832780781146121,@DiveJester @JonathanPieNews Seat belts work masks don’t. Everyone but the hardest core covid cultists know this.,shawntcuff
139,2021-11-30 23:59:03+00:00,1465832779770380292,"Yep it's Covid. Well, wish me luck friends. 👋",LakeSquid
